,type,latitude,longitude
1426,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2721,-71.0783
1430,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3351,-71.0262
1434,Missed Trash/Recycling/Yard Waste/Bulk Item,42.293,-71.0889
1458,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2918,-71.0743
1490,Improper Storage of Trash (Barrels),42.3594,-71.0587
1508,Improper Storage of Trash (Barrels),42.3306,-71.0463
1523,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3097,-71.0722
1528,Improper Storage of Trash (Barrels),42.3694,-71.0406
1573,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3732,-71.0624
1586,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2422,-71.1353
1601,Improper Storage of Trash (Barrels),42.3599,-71.0631
1604,Missed Trash/Recycling/Yard Waste/Bulk Item,42.309,-71.1335
1606,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3087,-71.1175
1609,Improper Storage of Trash (Barrels),42.3552,-71.0615
1623,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3513,-71.1583
1627,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3757,-71.0616
1664,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3093,-71.0719
1696,Improper Storage of Trash (Barrels),42.2882,-71.0625
1717,Improper Storage of Trash (Barrels),42.3584,-71.0704
1729,Improper Storage of Trash (Barrels),42.3594,-71.0587
1737,Improper Storage of Trash (Barrels),42.3589,-71.0656
1738,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3326,-71.0481
1757,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3251,-71.0685
1770,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2505,-71.1199
1776,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3771,-71.0506
1785,Improper Storage of Trash (Barrels),42.3655,-71.057
1786,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3496,-71.1335
1792,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3174,-71.1078
1793,Improper Storage of Trash (Barrels),42.3498,-71.0677
1807,Improper Storage of Trash (Barrels),42.3536,-71.1477
1817,Improper Storage of Trash (Barrels),42.3454,-71.0711
1825,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2857,-71.0778
1830,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3457,-71.0713
1842,Improper Storage of Trash (Barrels),42.36,-71.067
1847,Improper Storage of Trash (Barrels),42.3605,-71.0677
1850,Improper Storage of Trash (Barrels),42.3489,-71.0701
1853,Improper Storage of Trash (Barrels),42.3873,-71.0764
1854,Improper Storage of Trash (Barrels),42.3117,-71.0562
1858,Improper Storage of Trash (Barrels),42.3873,-71.0764
1861,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3149,-71.1155
1863,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3362,-71.0836
1866,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2496,-71.1403
1870,Improper Storage of Trash (Barrels),42.3486,-71.0701
1871,Improper Storage of Trash (Barrels),42.3484,-71.0705
1879,Improper Storage of Trash (Barrels),42.3413,-71.0798
1888,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3545,-71.1386
1910,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3835,-71.0791
1912,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3243,-71.0589
1921,Improper Storage of Trash (Barrels),42.3372,-71.0386
1925,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3222,-71.1124
1937,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2905,-71.0655
1950,Improper Storage of Trash (Barrels),42.2433,-71.1195
1953,Improper Storage of Trash (Barrels),42.3618,-71.0534
1973,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2716,-71.148
1974,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3133,-71.1162
1988,Improper Storage of Trash (Barrels),42.3608,-71.0663
1990,Improper Storage of Trash (Barrels),42.3601,-71.0665
2008,Improper Storage of Trash (Barrels),42.3372,-71.0471
2014,Improper Storage of Trash (Barrels),42.3636,-71.0526
2027,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3151,-71.1125
2035,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2915,-71.0659
2059,Improper Storage of Trash (Barrels),42.3594,-71.0587
2075,Improper Storage of Trash (Barrels),42.3363,-71.0525
2076,Improper Storage of Trash (Barrels),42.3361,-71.0523
2084,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3594,-71.0587
2087,Improper Storage of Trash (Barrels),42.3594,-71.0587
2092,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3512,-71.1519
2103,Missed Trash/Recycling/Yard Waste/Bulk Item,42.28,-71.0709
2106,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2706,-71.0887
2135,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3332,-71.0439
2137,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2823,-71.1424
2158,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3347,-71.0282
2159,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3071,-71.0787
2198,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3151,-71.1143
2201,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3151,-71.1143
2212,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3151,-71.1143
2239,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3105,-71.1152
2249,Improper Storage of Trash (Barrels),42.3604,-71.0671
2254,Improper Storage of Trash (Barrels),42.3601,-71.067
2308,Improper Storage of Trash (Barrels),42.3412,-71.0521
2353,Improper Storage of Trash (Barrels),42.3661,-71.0568
2354,Improper Storage of Trash (Barrels),42.3603,-71.0583
2369,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3222,-71.1143
2371,Improper Storage of Trash (Barrels),42.3118,-71.1011
