,type,latitude,longitude
16217,Pest Infestation - Residential,42.2846,-71.0619
16224,Rodent Activity,42.349,-71.1703
16239,Rodent Activity,42.3485,-71.0679
16326,Rodent Activity,42.3794,-71.0665
16357,Pest Infestation - Residential,42.3137,-71.1043
16364,Pest Infestation - Residential,42.3321,-71.0381
16605,Rodent Activity,42.3481,-71.0874
16612,Rodent Activity,42.3485,-71.0679
16821,Rodent Activity,42.3809,-71.0703
16829,Rodent Activity,42.3804,-71.0703
17165,Rodent Activity,42.2933,-71.1336
17273,Rodent Activity,42.3366,-71.097
17296,Rodent Activity,42.3465,-71.0798
17300,Pest Infestation - Residential,42.3482,-71.0938
17303,Rodent Activity,42.3422,-71.0847
17313,Rodent Activity,42.349,-71.1402
17357,Bed Bugs,42.3382,-71.1472
17392,Rodent Activity,42.3179,-71.099
17402,Rodent Activity,42.3178,-71.0992
17647,Pest Infestation - Residential,42.3458,-71.073
17677,Bed Bugs,42.3485,-71.1361
17771,Rodent Activity,42.3594,-71.0587
18078,Rodent Activity,42.3594,-71.0587
18142,Pest Infestation - Residential,42.2964,-71.0568
18187,Bed Bugs,42.3109,-71.0627
18220,Rodent Activity,42.3143,-71.084
18246,Rodent Activity,42.349,-71.1355
18348,Rodent Activity,42.2838,-71.0726
18465,Pest Infestation - Residential,42.3238,-71.077
18522,Rodent Activity,42.3174,-71.0612
18523,Pest Infestation - Residential,42.317,-71.0616
18701,Bed Bugs,42.3455,-71.0797
18833,Rodent Activity,42.2862,-71.0445
18836,Pest Infestation - Residential,42.3526,-71.1386
18871,Pest Infestation - Residential,42.3527,-71.1383
18915,Rodent Activity,42.3185,-71.0592
18931,Bed Bugs,42.2982,-71.0849
19019,Bed Bugs,42.349,-71.1401
19056,Rodent Activity,42.3595,-71.0588
19159,Rodent Activity,42.3594,-71.0587
19194,Pest Infestation - Residential,42.3297,-71.0839
19196,Rodent Activity,42.3594,-71.0587
19303,Rodent Activity,42.3288,-71.0833
19507,Rodent Activity,42.3161,-71.0773
19511,Bed Bugs,42.3194,-71.1009
19604,Rodent Activity,42.3594,-71.0587
19614,Rodent Activity,42.3225,-71.104
19627,Rodent Activity,42.366,-71.0578
19666,Rodent Activity,42.3485,-71.0679
19786,Rodent Activity,42.3327,-71.0371
19867,Rodent Activity,42.3594,-71.0587
20062,Pest Infestation - Residential,42.2841,-71.0445
20169,Rodent Activity,42.3485,-71.0679
20174,Pest Infestation - Residential,42.2841,-71.0445
20181,Pest Infestation - Residential,42.3755,-71.0662
20235,Rodent Activity,42.3432,-71.0735
20400,Rodent Activity,42.3821,-71.0411
20488,Rodent Activity,42.337,-71.0741
20503,Pest Infestation - Residential,42.2451,-71.1346
20703,Bed Bugs,42.3357,-71.0538
20719,Bed Bugs,42.3341,-71.1029
20779,Bed Bugs,42.3428,-71.065
20849,Rodent Activity,42.3432,-71.0778
20974,Rodent Activity,42.3759,-71.0385
21005,Rodent Activity,42.3179,-71.0777
21144,Rodent Activity,42.3489,-71.0828
21149,Bed Bugs,42.3416,-71.0859
21333,Rodent Activity,42.3594,-71.0587
21336,Pest Infestation - Residential,42.3595,-71.1345
21339,Pest Infestation - Residential,42.3595,-71.1347
21592,Rodent Activity,42.3508,-71.1432
21664,Pest Infestation - Residential,42.3608,-71.0647
21936,Rodent Activity,42.3594,-71.0587
21971,Rodent Activity,42.3594,-71.0587
21977,Rodent Activity,42.2903,-71.0543
22004,Pest Infestation - Residential,42.3603,-71.0583
22050,Rodent Activity,42.3496,-71.0661
22237,Rodent Activity,42.3594,-71.0587
22280,Rodent Activity,42.3423,-71.0804
22294,Pest Infestation - Residential,42.3168,-71.1094
22305,Rodent Activity,42.3227,-71.1037
22367,Rodent Activity,42.3539,-71.0756
22382,Rodent Activity,42.295,-71.0592
23093,Pest Infestation - Residential,42.3496,-71.0848
23262,Rodent Activity,42.316,-71.0724
23267,Rodent Activity,42.3165,-71.0731
23350,Bed Bugs,42.3361,-71.1095
23712,Bed Bugs,42.3583,-71.1282
26194,Rodent Activity,42.3308,-71.0396
26430,Rodent Activity,42.3226,-71.1027
26780,Rodent Activity,42.3563,-71.1371
27744,Rodent Activity,42.3115,-71.0605
29702,Pest Infestation - Residential,42.2907,-71.0627
30256,Rodent Activity,42.3262,-71.0757
30289,Rodent Activity,42.3594,-71.0587
30406,Rodent Activity,42.3124,-71.0754
30427,Rodent Activity,42.3718,-71.0357
30673,Pest Infestation - Residential,42.2925,-71.0724
31219,Rodent Activity,42.2777,-71.1285
31234,Rodent Activity,42.3461,-71.1474
31541,Rodent Activity,42.3798,-71.0579
31544,Rodent Activity,42.3797,-71.0552
31554,Rodent Activity,42.3806,-71.0632
32024,Rodent Activity,42.3109,-71.0641
32048,Rodent Activity,42.3118,-71.1011
32303,Pest Infestation - Residential,42.3347,-71.0944
32419,Rodent Activity,42.3145,-71.084
32571,Rodent Activity,42.3333,-71.0295
32661,Pest Infestation - Residential,42.3132,-71.0897
33220,Rodent Activity,42.3594,-71.0587
33221,Rodent Activity,42.3758,-71.0389
33548,Rodent Activity,42.3333,-71.0295
34099,Pest Infestation - Residential,42.3566,-71.0694
34652,Bed Bugs,42.3482,-71.1554
35328,Pest Infestation - Residential,42.3594,-71.0587
35607,Pest Infestation - Residential,42.3125,-71.0607
35804,Rodent Activity,42.3328,-71.0351
35825,Rodent Activity,42.3368,-71.0744
35826,Rodent Activity,42.3368,-71.0744
35892,Rodent Activity,42.3746,-71.0607
36000,Rodent Activity,42.3113,-71.0771
36261,Rodent Activity,42.2841,-71.0954
36409,Bed Bugs,42.2769,-71.1314
36424,Bed Bugs,42.28,-71.0945
36426,Rodent Activity,42.2862,-71.0445
36444,Rodent Activity,42.2531,-71.1146
36490,Bed Bugs,42.3594,-71.0587
36492,Bed Bugs,42.334,-71.075
36530,Rodent Activity,42.3212,-71.0609
36704,Rodent Activity,42.308,-71.1131
